class,support,std_clean_acc,std_adv_acc,advtrained_clean_acc,advtrained_adv_acc,delta_adv_std,delta_clean
7,16023,0.9777195281782438,0.8447856206702865,0.9793421955938338,0.9704175248080884,0.1256319041378019,0.001622667415590029
0,9160,0.9503275109170306,0.9461790393013101,0.9350436681222707,0.9312227074235808,-0.014956331877729268,-0.015283842794759916
8,8954,0.7777529595711414,0.5560643287916015,0.8113692204601296,0.7293946839401385,0.173330355148537,0.03361626088898817
3,7035,0.9776830135039091,0.9759772565742715,0.9823738450604123,0.9823738450604123,0.006396588486140775,0.004690831556503183
13,4445,1.0,0.9628796400449944,1.0,0.9941507311586052,0.031271091113610816,0.0
5,4215,0.7881376037959668,0.6438908659549228,0.7499406880189798,0.6818505338078292,0.03795966785290639,-0.03819691577698692
2,3134,0.5902999361837907,0.3248245054243778,0.6132737715379707,0.42756860242501593,0.10274409700063813,0.02297383535417996
9,3063,0.1671563826314071,0.05256284688214169,0.04440091413646752,0.031341821743388835,-0.021221025138752854,-0.1227554684949396
10,2735,0.7904936014625229,0.5115173674588666,0.7557586837294332,0.6208409506398538,0.10932358318098723,-0.034734917733089676
6,1309,0.4247517188693659,0.19556913674560733,0.3116883116883117,0.18105423987776928,-0.01451489686783805,-0.11306340718105423
1,953,0.14060860440713535,0.13431269674711438,0.0944386149003148,0.09024134312696747,-0.044071353620146914,-0.04616998950682055
12,606,0.037953795379537955,0.0033003300330033004,0.024752475247524754,0.0016501650165016502,-0.0016501650165016502,-0.013201320132013201
11,591,0.14213197969543148,0.07106598984771574,0.14213197969543148,0.06598984771573604,-0.005076142131979697,0.0
4,110,0.0,0.0,0.0,0.0,0.0,0.0
